code,name
01,ТОВАРЫ
01.01,ПРОДУКТЫ ПИЩЕВЫЕ
01.01.01,ПРОДУКЦИЯ БАКАЛЕЙНАЯ
01.01.01.01,КРУПЫ
01.01.01.01.01,КРУПА ГРЕЧНЕВАЯ
01.01.01.01.02,КРУПА ПШЕНИЧНАЯ
01.01.01.01.03,КРУПА КУКУРУЗНАЯ
01.01.01.01.04,КРУПА ОВСЯНАЯ
01.01.01.01.05,РИС
01.01.01.01.06,КРУПА МАННАЯ
01.01.01.01.07,КРУПА ЯЧНЕВАЯ
01.01.01.01.08,КРУПА ПШЕНО
01.01.01.01.09,КРУПА ПЕРЛОВАЯ
01.01.01.01.10,ОВСЯНЫЕ ХЛОПЬЯ
01.01.01.01.12,ГОРОХ ШЛИФОВАННЫЙ СУШЕННЫЙ
01.01.01.01.13,ЧЕЧЕВИЦА СУШЕНАЯ
01.01.01.01.14,КРУПА ПОЛБА
01.01.01.01.15,НУТ СУШЕНЫЙ
01.01.01.01.16,ФАСОЛЬ СУШЕНАЯ
01.01.01.01.17,ТОЛОКНО
01.01.01.02,МУКА И КРАХМАЛ
01.01.01.02.01,МУКА
01.01.01.02.01.01,МУКА ПШЕНИЧНАЯ
01.01.01.02.01.03,"МУКА ПШЕНИЧНО-РЖАНАЯ, РЖАНО-ПШЕНИЧНАЯ"
01.01.01.02.01.03.01,МУКА ПШЕНИЧНО-РЖАНАЯ
01.01.01.02.01.03.02,МУКА РЖАНО-ПШЕНИЧНАЯ
01.01.01.02.01.04,МУКА ОВСЯНАЯ
01.01.01.02.01.05,МУКА РЖАНАЯ
01.01.01.02.01.06,МУКА ЯЧМЕННАЯ
01.01.01.02.01.07,МУКА КУКУРУЗНАЯ
01.01.01.02.01.08,МУКА СОЕВАЯ
01.01.01.02.01.09,МУКА ГОРОХОВАЯ
01.01.01.02.01.10,МУКА ГРЕЧНЕВАЯ
01.01.01.02.01.11,МУКА РИСОВАЯ
01.01.01.02.01.12,МУКА ЛЬНЯНАЯ
01.01.01.02.01.13,МУКА ПОЛБЯНАЯ
01.01.01.02.01.14,МУКА НУТОВАЯ
01.01.01.02.01.15,МУКА ЧЕЧЕВИЧНАЯ
01.01.01.02.01.16,МУКА ПШЕННАЯ
01.01.01.02.01.17,МУКА ИЗ СЕМЯН РАСТОРОПШИ
